id,lat,lon,city,iata,size
423,70.02058730174062,24.9609375,Lakselv,LKL,4
440,68.52823492039876,15.1171875,Stokmarknes,SKN,4
2901,67.06743335108297,20.7421875,Gällivare,GEV,4
6083,67.474922384787,11.953125,Røst,RET,4
8903,66.79190947341796,88.2421875,Svetlogorsk,SES,4
143,67.87554134672945,20.390625,Kiruna,KRN,4
413,70.84467263425277,29.1796875,Berlevåg,BVG,4
419,70.95969716686398,26.015625,Honningsvåg,HVG,4
425,71.07405646336098,27.7734375,Mehamn,MEH,4
426,66.37275500247456,14.4140625,Mo i Rana,MQN,4
442,68.26938680456566,14.765625,Svolvær,SVJ,4
444,70.37785394109224,30.9375,Vardø,VAW,4
410,69.28725695167886,16.171875,Andenes,ANX,4
412,70.61261423801923,29.53125,Båtsfjord,BJF,4
436,65.94647177615738,12.3046875,Sandnessjøen,SSJ,4
4356,67.474922384787,33.75,Kirovsk / Apatity,KVK,4
7948,65.94647177615738,57.3046875,Usinsk,USK,4
424,68.13885164925574,13.7109375,Leknes,LKN,4
142,69.7789517764676,29.8828125,Kirkenes,KKN,4
417,70.72897946208789,23.5546875,Hammerfest,HFT,3
11,70.02058730174062,23.203125,Alta,ALF,3
443,70.02058730174062,29.8828125,Vadsø,VDS,3
5494,67.60922060496382,53.0859375,Naryan-Mar,NNM,3
429,68.78414378041504,32.6953125,Murmansk,MMK,3
470,65.94647177615738,29.1796875,Kuusamo,KAO,3
498,68.65655498475736,27.421875,Ivalo,IVL,3
7867,66.65297740055279,66.4453125,Salekhard,SLY,3
121,68.52823492039876,16.5234375,Harstad-Narvik,EVE,3
5524,69.28725695167886,87.1875,Norilsk,NSK,3
43,67.2040323434008,14.4140625,Bodø,BOO,3
144,67.7427590666639,24.9609375,Kittilä,KTT,3
5543,66.08936427047087,76.640625,Novy Urengoy,NUX,3
265,66.51326044311186,25.6640625,Rovaniemi,RVN,2
310,69.65708627301174,18.984375,Tromsø,TOS,2
1768,70.61261423801923,148.0078125,Chokurdakh,CKH,4
3578,71.74643171904148,129.0234375,Tiksi,IKS,4
8181,69.41124235697255,139.921875,Deputatsky,DPT,4
8198,67.60922060496382,134.6484375,Batagay,BQJ,4
8199,67.87554134672945,166.2890625,Keperveyem,KPW,4
8205,71.96538769913127,113.90625,Saskylakh,SYS,4
8223,66.51326044311186,143.0859375,Khonuu,MQJ,4
8229,67.7427590666639,130.4296875,Batagay-Alyta,SUK,4
8233,70.02058730174062,135.703125,Ust-Kuyga,UKG,4
8239,66.79190947341796,123.3984375,Zhigansk,ZIX,4
8249,68.52823492039876,112.5,Olenyok,ONK,4
8254,68.52823492039876,146.25,"Belaya Gora, Sakha Republic",BGN,4
2055,68.78414378041504,161.3671875,Chersky,CYX,4
3432,71.96538769913127,102.65625,Khatanga,HTG,4
8227,67.474922384787,153.6328125,Srednekolymsk,SEK,4
5982,69.7789517764676,170.5078125,Pevek,PWE,4
7789,66.37275500247456,112.1484375,Udachny,PYJ,4
547,14.944784875088363,-91.40625,Quetzaltenango,AAZ,4
555,32.54681317351515,-99.84375,Abilene,ABI,4
564,45.33670190996811,-98.4375,Aberdeen,ABR,4
584,31.653381399663985,-97.3828125,Waco,ACT,4
596,51.83577752045248,-176.484375,Adak Island,ADK,4
669,42.0329743324414,-102.65625,Alliance,AIA,4
708,60.930432202923335,-161.3671875,Akiak,AKI,4
710,56.944974180851595,-154.3359375,Akhiok,AKK,4
713,58.631216643424786,-156.796875,King Salmon,AKN,4
734,42.55308028895581,-92.4609375,Waterloo,ALO,4
738,37.43997405227058,-105.8203125,Alamosa,ALS,4
742,46.07323062540836,-118.125,Walla Walla,ALW,4
787,62.59334083012024,-160.3125,Anvik,ANV,4
901,60.930432202923335,-162.421875,Atmautluak,ATT,4
918,62.75472592723179,-164.8828125,Alakanuk,AUK,4
