SDB,BR,90000,Rio,2000,500
SDN,NO,113000,Sandane Airport,110,
SHW,SA,24411,Sharurah,85977,
SIH,BR,90000,Rio,2000,500
SKM,BR,2000,Helicentro Morumbí Heliport,5000,750
SNP,US,78993,St Paul Island Airport,413,
SSW,US,78993,Stuart Island Airpark,408,
STG,US,78993,St George Airport,150,
SVA,US,78993,Savoonga Airport,833,
SWB,BR,29000,Rolim de Moura,55407,
TCG,CN,14234,Tacheng Airport,244675,
TEK,US,78993,Tatitlek Airport,114,
TKN,JP,37134,Tokunoshima Airport,23647,
TNK,US,78993,Tununak Airport,373,
TSJ,JP,37134,Tsushima Airport,31457,
TSS,US,220000,East 34th Street Heliport,1000,600
UEO,JP,39134,Kumejima Airport,8542,
UNI,VC,62300,Union Island International Airport,2884,
UNK,US,78993,Unalakleet Airport,688,
USN,KR,39134,Ulsan Airport,1177,
WDN,US,78993,Waldron Airstrip,58,
WNR,AU,78993,Windorah Airport,90,
WRY,GB,53043,Westray,566,
WTK,US,78993,Notak,570,
XLB,CA,39461,Lac Brochet Airport,1026,
XMY,AU,38993,Yam Island,275,
XPP,CA,39461,Poplar River Airport,261,
XSI,CA,39461,South Indian Lake Airport,719,
XYI,CN,1450,Woody Island,,
YAB,CA,39461,Arctic Bay Airport,933,
YAK,US,78993,Yakutat Airport,662,
YAQ,AQ,128900,Casey Station,99,
YDP,CA,39461,Nain,1204,
YGZ,CA,39461,Grise Fiord,144,
YLT,CA,39461,Alert Airport,110,
YMP,CA,39461,Port McNeill Airport,2530,
YTE,CA,39461,Cape Dorset Airport,1441,
YTL,CA,39461,Big Trout Lake Airport,526,
YTQ,CA,39461,Tasiujaq Airport,376,
YUT,CA,39461,Naujaat Airport,1082,
YUX,CA,39461,Hall Beach Airport,943,
YVM,CA,39461,Qikiqtarjuaq Airport,1417,
YVP,CA,39461,Kuujjuaq Airport,2754,
YVZ,CA,39461,Deer Lake Airport,5076,
YWB,CA,39461,Kangiqsujuaq,837,
YWP,CA,39461,Webequie Airport,756,
YXN,CA,39461,Whale Cove Airport,854,
YXP,CA,39461,Pangnirtung Airport,1481,
YYH,CA,39461,Taloyoak Airport,1029,
YYL,CA,39461,Lynn Lake Airport,1031,
YYQ,CA,39461,Churchill Airport,899,
YZP,CA,39461,Sandspit Airport,517,
YZS,CA,39461,Coral Harbour Airport,922,
ZAC,CA,39461,York Landing Airport,1031,
ZFD,CA,39461,Fond-du-Lac Airport,489,
ZGI,CA,39461,Gods River Airport,577,
ZMT,CA,39461,Masset Airport,937,
ZPB,CA,39461,Sachigo Lake Airport,493,
ZRJ,CA,39461,Round Lake (Weagamow Lake) Airport,1513,
ZSJ,CA,39461,Sandy Lake Airport,1356,
ZTM,CA,39461,Shamattawa Airport,128,
ZWL,CA,39461,Wollaston Lake Airport,1272,
