airplaneModelId,airplane,name
176,D8T,Boeing/McDonnell Douglas DC-8-50 Freighter
176,D8X,Boeing/McDonnell Douglas DC-8-61/62/63 Freighter
177,D8L,Boeing/McDonnell Douglas DC-8-62
178,D8Y,Boeing/McDonnell Douglas DC-8-71/72/73 Freighter
178,D8Q,Boeing/McDonnell Douglas DC-8-72
179,DC9,Boeing/McDonnell Douglas DC-9
179,DCF,Boeing/McDonnell Douglas DC-9 Freighter
179,D91,Boeing/McDonnell Douglas DC-9-10
179,D9X,Boeing/McDonnell Douglas DC-9-10 Freighter
179,D92,Boeing/McDonnell Douglas DC-9-20
180,D93,Boeing/McDonnell Douglas DC-9-30
180,D9C,Boeing/McDonnell Douglas DC-9-30 Freighter
180,D9S,Boeing/McDonnell Douglas DC-9-30/40/50
180,D94,Boeing/McDonnell Douglas DC-9-40
180,D9F,Boeing/McDonnell Douglas DC-9-40 Freighter
181,D95,Boeing/McDonnell Douglas DC-9-50
182,M11,Boeing/McDonnell Douglas MD-11
182,M1M,Boeing/McDonnell Douglas MD-11 Combi
182,M1F,Boeing/McDonnell Douglas MD-11 Freighter
183,M80,Boeing/McDonnell Douglas MD-80
183,M81,Boeing/McDonnell Douglas MD-81
183,M82,Boeing/McDonnell Douglas MD-82
183,M83,Boeing/McDonnell Douglas MD-83
184,M87,Boeing/McDonnell Douglas MD-87
184,M88,Boeing/McDonnell Douglas MD-88
186,M90,Boeing/McDonnell Douglas MD-90
1,CS1,Bombardier CSeries 100/ Airbus A220-100
2,CS3,Bombardier CSeries 300/ Airbus A220-300
,ATP,British Aerospace ATP
,B11,British Aerospace BAC One Eleven
,B12,British Aerospace BAC One Eleven 200
,B13,British Aerospace BAC One Eleven 300
,B14,British Aerospace BAC One Eleven 400
,B15,British Aerospace BAC One Eleven 500
41,146,British Aerospace BAe 146
41,14F,British Aerospace BAe 146 Freighter
41,141,British Aerospace BAe 146-100
41,14X,British Aerospace BAe 146-100QT/QC
42,142,British Aerospace BAe 146-200
42,14Y,British Aerospace BAe 146-200QT/QC
43,143,British Aerospace BAe 146-300
43,14Z,British Aerospace BAe 146-300QT/QC
,J31,British Aerospace Jetstream 31
,JST,British Aerospace Jetstream 31/32/41
,J32,British Aerospace Jetstream 32
,J41,British Aerospace Jetstream 41
,HS7,British Aerospace/Hawker Siddeley HS748
122,919,C919
,CCJ,Canadair Challenger
,CRJ,Canadair Regional Jet
,CR1,Canadair Regional Jet 100
,CRK,Canadair Regional Jet 1000
,CR2,Canadair Regional Jet 200
,CR7,Canadair Regional Jet 700
,CRA,Canadair Regional Jet 705
,CR9,Canadair Regional Jet 900
,CS2,CASA/IPTN CN-212 Aviocar
,CS5,CASA/IPTN CN-235
,CNJ,Cessna Citation
,CNA,Cessna Light Aircraft
,CN1,Cessna light aircraft - single piston engine
,CNC,Cessna light aircraft - single turboprop engine
,CN2,Cessna light aircraft - twin piston engines
,CNT,Cessna light aircraft - twin turboprop engines
,CVR,Convair 240/440/580
,CV5,Convair 580
,CVF,Convair 580/600/640 Freighter
,CWC,Curtiss C-46 Commando
,DHP,De Havilland Canada DHC-2 Beaver
,DHS,De Havilland Canada DHC-3 Otter
,DHL,De Havilland Canada DHC-3 Turbo Otter
,DHC,De Havilland Canada DHC-4 Caribou
,DHT,De Havilland Canada DHC-6 Twin Otter
131,DH7,De Havilland Canada DHC-7 Dash 7
132,DH8,De Havilland Canada DHC-8 Dash 8 All S.
132,DH1,De Havilland Canada DHC-8-100 Dash 8/8Q
133,DH2,De Havilland Canada DHC-8-200 Dash 8/8Q
134,DH3,De Havilland Canada DHC-8-300 Dash 8/8Q
135,DH4,De Havilland Canada DHC-8-400 Dash 8/8Q
149,EM9,Embraer E190
150,290,Embraer E190-E2
152,295,Embraer E195-E2
,EMB,Embraer EMB-110 Bandeirante
153,EM2,Embraer EMB-120 Brasilia
154,ER3,Embraer ERJ-135 Regional Jet
154,ERJ,Embraer ERJ-135/140/145 Regional Jet
155,ERD,Embraer ERJ-140 Regional Jet
155,ER4,Embraer ERJ-145 Regional Jet
146,E70,Embraer ERJ-170
146,EMJ,Embraer ERJ-170/190
147,E75,Embraer ERJ-175
149,E90,Embraer ERJ-190
151,E95,Embraer ERJ-195
140,FRJ,Fairchild Dornier 328JET
141,FA7,Fairchild Dornier 728JET
,D28,Fairchild Dornier Do-228
139,D38,Fairchild Dornier Do-328
,FK7,Fairchild FH227
,SWM,Fairchild Metro/Merlin
156,100,Fokker 100
157,F50,Fokker 50
159,F70,Fokker 70
160,F27,Fokker F27 Friendship/Fairchild F27
,F28,Fokker F28 Fellowship
,F21,Fokker F28 Fellowship 1000
,F22,Fokker F28 Fellowship 2000
,F23,Fokker F28 Fellowship 3000
,F24,Fokker F28 Fellowship 4000
,GA8,GippsAero GA8 Airvan
,CD2,Government Aircraft Factories N22B/N24A Nomad
,GRG,Grumman G-21 Goose
,GRM,Grumman G-73 Turbo Mallard
,HEC,Helio H-250 Courier/H-295/395 Super Courier
,I14,Ilyushin IL-114
163,IL8,Ilyushin IL-18
164,IL6,Ilyushin IL-62
165,IL7,Ilyushin IL-76
165,ILW,Ilyushin IL-86
166,IL9,Ilyushin IL-96
166,I9F,Ilyushin IL-96 Freighter
166,I93,Ilyushin IL-96-300
167,I9M,Ilyushin IL-96M
167,I9Y,Ilyushin IL-96T
,WWP,Israel Aircraft Industries 1124 Westwind
,JU5,Junkers Ju52
,LRJ,Learjet
,L4T,Let 410 Turbolet
,LOH,Lockheed L-100 Hercules
168,L10,Lockheed L-1011 Tristar
168,L1F,Lockheed L-1011 Tristar Freighter
169,L11,Lockheed L-1011-1/50/100/150/200/250
170,L15,Lockheed L-1011-500 Tristar
171,LOE,Lockheed L-188 Electra
187,MIH,Mil
,MU2,Mitsubishi MU-2
188,YS1,NAMC YS-11
,BUS,Non Aircraft - Bus
,LCH,Non Aircraft - Launch/Boat
,LMO,Non Aircraft - Limousine
,TRN,Non Aircraft - Train
,PN6,Partenavia P68
,BNT,Pilatus Britten-Norman BN-2A Trislander
,BNI,Pilatus Britten-Norman BN-2A/B
,PL2,Pilatus PC-12
,PAG,Piper Light Aircraft
,PA1,Piper light aircraft - single piston engine
,PA2,Piper light aircraft - twin piston engines
189,S20,Saab 2000
190,SF3,Saab SF-340
190,SFB,Saab SF-340B
,SH3,Shorts SD-330
,SH6,Shorts SD-360
191,S58,Sikorsky S-58T
191,S61,Sikorsky S-61
191,S76,Sikorsky S-76
196,SU1,Sukhoi Superjet
196,SU9,Sukhoi Superjet 100
198,TU3,Tupolev Tu-134
200,TU5,Tupolev Tu-154
202,T20,Tupolev Tu-204/214
,ACD,Twin Aero Commander/Turbo/Jetprop
204,VCV,Vickers Viscount
295,MA6,Xian MA6
,YK4,Yakovlev Yak-40
,YK2,Yakovlev Yak-42
,YN2,Yunshuji Y-12/Xian Y-12
,YN7,Yunshuji Y-7/Harbin Y-7
28,350,Airbus Industrie A350
